Resort_ID,Month,avg_snow
"4, 195, 261",2022-01-01,96.65
"4, 195, 261",2022-02-01,94.49
"4, 195, 261",2022-03-01,44.879999999999995
"4, 195, 261",2022-04-01,4.72
"4, 195, 261",2022-09-01,1.97
"4, 195, 261",2022-10-01,0.39
"4, 195, 261",2022-11-01,97.04499999999999
"4, 195, 261",2022-12-01,100
"4, 261",2022-01-01,94.09
"4, 261",2022-02-01,99.21
"4, 261",2022-03-01,22.44
"4, 261",2022-04-01,0.79
"4, 261",2022-11-01,99.61
"4, 261",2022-12-01,98.03
5,2022-01-01,99.06153846153846
5,2022-02-01,99.90923076923077
5,2022-03-01,100
5,2022-04-01,77.558
5,2022-05-01,50
5,2022-10-01,22.835
5,2022-11-01,67.02
5,2022-12-01,99.69692307692307
"5, 482",2022-01-01,99.21333333333334
"5, 482",2022-02-01,100
"5, 482",2022-03-01,99.60666666666667
"5, 482",2022-04-01,89.10666666666667
"5, 482",2022-10-01,17.125
"5, 482",2022-11-01,23.623333333333335
"5, 482",2022-12-01,99.87
"6, 466",2022-01-01,99.90125
"6, 466",2022-02-01,99.16375
"6, 466",2022-03-01,99.2125
"6, 466",2022-04-01,97.835
"6, 466",2022-05-01,85.38375
"6, 466",2022-06-01,35.17
"6, 466",2022-07-01,1.57
"6, 466",2022-08-01,2.36
"6, 466",2022-10-01,56.89
"6, 466",2022-11-01,38.48375
"6, 466",2022-12-01,96.4575
"6, 56, 466",2022-01-01,100
"6, 56, 466",2022-02-01,99.21375
"6, 56, 466",2022-03-01,99.11375
"6, 56, 466",2022-04-01,94.045
"6, 56, 466",2022-05-01,70.71875
"6, 56, 466",2022-06-01,8.27
"6, 56, 466",2022-07-01,8.66
"6, 56, 466",2022-10-01,100
"6, 56, 466",2022-11-01,22.271428571428572
"6, 56, 466",2022-12-01,99.40875
7,2022-06-01,2.755
8,2022-04-01,0.7849999999999999
8,2022-05-01,4.593333333333334
8,2022-06-01,7.876666666666667
8,2022-07-01,6.20125
8,2022-08-01,1.97
"9, 10, 102, 115, 326, 445, 456, 468, 472, 474",2022-01-01,76.77
"9, 10, 102, 115, 326, 445, 456, 468, 472, 474",2022-02-01,85.04
"9, 10, 102, 115, 326, 445, 456, 468, 472, 474",2022-11-01,1.18
"9, 10, 102, 115, 326, 445, 456, 468, 472, 474",2022-12-01,43.31
"9, 10, 35, 37, 92, 102, 109, 112, 114, 122, 148, 222, 240, 252, 308, 370, 372, 395, 403, 442, 456, 465, 472, 478",2022-01-01,94.88
"9, 10, 35, 37, 92, 102, 109, 112, 114, 122, 148, 222, 240, 252, 308, 370, 372, 395, 403, 442, 456, 465, 472, 478",2022-02-01,96.85
"9, 10, 35, 37, 92, 102, 109, 112, 114, 122, 148, 222, 240, 252, 308, 370, 372, 395, 403, 442, 456, 465, 472, 478",2022-03-01,90.55
"9, 10, 35, 37, 92, 102, 109, 112, 114, 122, 148, 222, 240, 252, 308, 370, 372, 395, 403, 442, 456, 465, 472, 478",2022-04-01,1.57
"9, 10, 35, 37, 92, 102, 109, 112, 114, 122, 148, 222, 240, 252, 308, 370, 372, 395, 403, 442, 456, 465, 472, 478",2022-11-01,3.94
"9, 10, 35, 37, 92, 102, 109, 112, 114, 122, 148, 222, 240, 252, 308, 370, 372, 395, 403, 442, 456, 465, 472, 478",2022-12-01,100
"9, 10, 35, 37, 92, 102, 112, 114, 122, 148, 240, 252, 370, 395, 442, 456, 465, 472, 478",2022-01-01,95.28
"9, 10, 35, 37, 92, 102, 112, 114, 122, 148, 240, 252, 370, 395, 442, 456, 465, 472, 478",2022-02-01,98.82
"9, 10, 35, 37, 92, 102, 112, 114, 122, 148, 240, 252, 370, 395, 442, 456, 465, 472, 478",2022-03-01,17.32
"9, 10, 35, 37, 92, 102, 112, 114, 122, 148, 240, 252, 370, 395, 442, 456, 465, 472, 478",2022-04-01,9.06
"9, 10, 35, 37, 92, 102, 112, 114, 122, 148, 240, 252, 370, 395, 442, 456, 465, 472, 478",2022-09-01,0.79
"9, 10, 35, 37, 92, 102, 112, 114, 122, 148, 240, 252, 370, 395, 442, 456, 465, 472, 478",2022-12-01,95.28
"9, 10, 35, 37, 92, 99, 102, 106, 109, 117, 148, 222, 240, 252, 255, 308, 326, 395, 403, 445, 456, 472, 474, 478",2022-01-01,97.24
"9, 10, 35, 37, 92, 99, 102, 106, 109, 117, 148, 222, 240, 252, 255, 308, 326, 395, 403, 445, 456, 472, 474, 478",2022-02-01,98.82
"9, 10, 35, 37, 92, 99, 102, 106, 109, 117, 148, 222, 240, 252, 255, 308, 326, 395, 403, 445, 456, 472, 474, 478",2022-03-01,98.82
"9, 10, 35, 37, 92, 99, 102, 106, 109, 117, 148, 222, 240, 252, 255, 308, 326, 395, 403, 445, 456, 472, 474, 478",2022-04-01,3.94
"9, 10, 35, 37, 92, 99, 102, 106, 109, 117, 148, 222, 240, 252, 255, 308, 326, 395, 403, 445, 456, 472, 474, 478",2022-11-01,24.8
"9, 10, 35, 37, 92, 99, 102, 106, 109, 117, 148, 222, 240, 252, 255, 308, 326, 395, 403, 445, 456, 472, 474, 478",2022-12-01,92.13
"9, 10, 35, 37, 92, 99, 102, 106, 117, 148, 240, 252, 326, 395, 445, 456, 472, 474, 478",2022-01-01,72.44
"9, 10, 35, 37, 92, 99, 102, 106, 117, 148, 240, 252, 326, 395, 445, 456, 472, 474, 478",2022-02-01,56.69
"9, 10, 35, 37, 92, 99, 102, 106, 117, 148, 240, 252, 326, 395, 445, 456, 472, 474, 478",2022-03-01,0.79
"9, 10, 35, 37, 92, 99, 102, 106, 117, 148, 240, 252, 326, 395, 445, 456, 472, 474, 478",2022-04-01,0.79
"9, 10, 35, 37, 92, 99, 102, 106, 117, 148, 240, 252, 326, 395, 445, 456, 472, 474, 478",2022-11-01,0.39
"9, 10, 35, 37, 92, 99, 102, 106, 117, 148, 240, 252, 326, 395, 445, 456, 472, 474, 478",2022-12-01,35.43
"9, 10, 35, 99, 102, 106, 109, 115, 117, 148, 222, 252, 255, 326, 333, 395, 403, 424, 426, 445, 456, 468, 472, 474",2022-01-01,97.64
"9, 10, 35, 99, 102, 106, 109, 115, 117, 148, 222, 252, 255, 326, 333, 395, 403, 424, 426, 445, 456, 468, 472, 474",2022-02-01,97.24
"9, 10, 35, 99, 102, 106, 109, 115, 117, 148, 222, 252, 255, 326, 333, 395, 403, 424, 426, 445, 456, 468, 472, 474",2022-03-01,98.43
"9, 10, 35, 99, 102, 106, 109, 115, 117, 148, 222, 252, 255, 326, 333, 395, 403, 424, 426, 445, 456, 468, 472, 474",2022-04-01,12.6
"9, 10, 35, 99, 102, 106, 109, 115, 117, 148, 222, 252, 255, 326, 333, 395, 403, 424, 426, 445, 456, 468, 472, 474",2022-11-01,13.39
"9, 10, 35, 99, 102, 106, 109, 115, 117, 148, 222, 252, 255, 326, 333, 395, 403, 424, 426, 445, 456, 468, 472, 474",2022-12-01,87.4
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-01-01,94.49
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-02-01,98.03
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-03-01,97.64
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-04-01,100
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-05-01,0.39
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-11-01,24.8
"9, 10, 35, 99, 102, 106, 115, 117, 148, 252, 326, 395, 424, 445, 456, 468, 472, 474",2022-12-01,94.49
"9, 10, 37, 102, 112, 114, 116, 118, 121, 122, 370, 442, 465, 472, 478",2022-01-01,53.54
"9, 10, 37, 102, 112, 114, 116, 118, 121, 122, 370, 442, 465, 472, 478",2022-02-01,2.76
"9, 10, 37, 102, 112, 114, 116, 118, 121, 122, 370, 442, 465, 472, 478",2022-12-01,34.25
"9, 10, 37, 102, 112, 114, 122, 370, 442, 456, 465, 472, 478",2022-01-01,14.96
"9, 10, 37, 102, 112, 114, 122, 370, 442, 456, 465, 472, 478",2022-11-01,12.99
"9, 10, 37, 102, 112, 114, 122, 370, 442, 456, 465, 472, 478",2022-12-01,50
"9, 10, 37, 102, 326, 445, 456, 472, 474, 478",2022-01-01,35.04
"9, 10, 37, 102, 326, 445, 456, 472, 474, 478",2022-02-01,17.32
"9, 10, 37, 102, 326, 445, 456, 472, 474, 478",2022-11-01,12.2
"9, 10, 37, 102, 326, 445, 456, 472, 474, 478",2022-12-01,33.86
"9, 10, 37, 92, 102, 112, 114, 116, 118, 121, 122, 240, 277, 308, 370, 372, 395, 403, 442, 465, 472, 478",2022-01-01,92.13
"9, 10, 37, 92, 102, 112, 114, 116, 118, 121, 122, 240, 277, 308, 370, 372, 395, 403, 442, 465, 472, 478",2022-02-01,97.64
"9, 10, 37, 92, 102, 112, 114, 116, 118, 121, 122, 240, 277, 308, 370, 372, 395, 403, 442, 465, 472, 478",2022-03-01,96.85
"9, 10, 37, 92, 102, 112, 114, 116, 118, 121, 122, 240, 277, 308, 370, 372, 395, 403, 442, 465, 472, 478",2022-04-01,100
"9, 10, 37, 92, 102, 112, 114, 116, 118, 121, 122, 240, 277, 308, 370, 372, 395, 403, 442, 465, 472, 478",2022-05-01,3.94
"9, 10, 37, 92, 102, 112, 114, 116, 118, 121, 122, 240, 277, 308, 370, 372, 395, 403, 442, 465, 472, 478",2022-11-01,90.94
