"CleanedResort","OriginalResort"
"Rosa Khutor","Rosa Khutor"
"Zell am See","Zell am See"
"Cerler","Cerler"
"Jay Peak","Jay Peak"
"Three Peaks Dolomites-Helm-Stiergarten-Rotwand-Kreuzbergpass","Three Peaks Dolomites-Helm-Stiergarten-Rotwand-Kreuzbergpass"
"Puy St Vincent","Puy St Vincent"
"Angel Fire","Angel Fire"
"Folgaria-Fiorentini","Folgaria-Fiorentini"
"Titlis-Engelberg","Titlis-Engelberg"
"Trysil","Trysil"
"Nauders am Reschenpass-Bergkastel","Nauders am Reschenpass-Bergkastel"
"Bridger Bowl-Bozeman","Bridger Bowl-Bozeman"
"Brian Head","Brian Head"
"Grossarltal-Dorfgastein","Grossarltal-Dorfgastein"
"Thredbo","Thredbo"
"Stowe","Stowe"
"Katschberg","Katschberg"
"Valfrejus","Valfrejus"
"Savognin","Savognin"
"Scuol-Motta Naluns","Scuol-Motta Naluns"
"Okemo","Okemo"
"Mont-Sainte-Anne-Beaupre","Mont-Sainte-Anne-Beaupre"
"49 Degrees North Mountain Resort","49 Degrees North Mountain Resort"
"Passo San Pellegrino-Falcade","Passo San Pellegrino-Falcade"
"Bear Valley","Bear Valley"
"Apex Resort","Apex Resort"
"Brighton","Brighton"
"Piau Engaly","Piau Engaly"
"Flumserberg","Flumserberg"
"Super Sauze","Super Sauze"
"Bukovel","Bukovel"
"La Norma","La Norma"
"Mt Hood Skibowl","Mt Hood Skibowl"
"Kirkwood","Kirkwood"
"Red Lodge Mountain","Red Lodge Mountain"
"Solitude","Solitude"
"Pal-Arinsal-La Massana-Vallnord-","Pal-Arinsal-La Massana-Vallnord-"
"Arabba","Arabba"
"Wildkogel-Neukirchen-Bramberg","Wildkogel-Neukirchen-Bramberg"
"Alyeska Resort-Girdwood","Alyeska Resort-Girdwood"
"Hintertux Glacier","Hintertux Glacier"
"Disentis 3000","Disentis 3000"
"Belalp-Blatten","Belalp-Blatten"
"San Martino di Castrozza","San Martino di Castrozza"
"Meiringen-Hasliberg","Meiringen-Hasliberg"
"Toggenburg-Wildhaus-Unterwasser-Alt St Johann","Toggenburg-Wildhaus-Unterwasser-Alt St Johann"
"Alpe di Siusi-Seiser Alm-","Alpe di Siusi-Seiser Alm-"
"Le Lioran","Le Lioran"
"Saint Luc-Chandolin-Anniviers-","Saint Luc-Chandolin-Anniviers-"
"Les Karellis","Les Karellis"
"Peyragudes","Peyragudes"
"Leysin","Leysin"
"Gudauri","Gudauri"
"Mount Snow","Mount Snow"
"Mount Washington","Mount Washington"
"Ponte di Legno-Passo Tonale-Presena Glacier-Temu-Pontedilegno-Tonale-","Ponte di Legno-Passo Tonale-Presena Glacier-Temu-Pontedilegno-Tonale-"
"Gore Mountain","Gore Mountain"
"Eggli-La Videmanette-Gstaad-Saanen-Rougemont","Eggli-La Videmanette-Gstaad-Saanen-Rougemont"
"Anzere","Anzere"
"Borovets","Borovets"
"Font-Romeu-Bolquere Pyrenees 2000","Font-Romeu-Bolquere Pyrenees 2000"
"Oppdal","Oppdal"
"Brevent-Flegere-Chamonix-","Brevent-Flegere-Chamonix-"
"Bretton Woods","Bretton Woods"
